"rfid","sex","coatcolor","project_name","organism","strain","comments","pcr_barcode","barcode","library","flag","date","QC_pass","location_on_tscc","user"
"20","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
