"rfid","dames","sires"
"933000320045997","73020_2","72789_1"
"933000320046615","72806_2","72781_3"
"933000120138722","72395_2","72465_2"
"933000320047281","73208_2","73175_1"
"933000320046093","72803_2","72936_1"
"933000320046611","72935_2","72771_5"
"933000320046920","73504_4","73505_1"
"933000120138420","72595_5","72539_1"
"933000120138424","72595_5","72539_1"
"933000320047114","73267_2","73152_1"
"933000320046144","72871_1","72952_1"
"933000320047283","73206_2","73243_3"
"933000120138736","72539_2","72625_1"
"933000320047129","73188_2","73435_2"
"933000320045674","73311_3","73306_5"
"933000320046907","73205_2","73412_2"
"933000320047477","73674_2","73688_1"
"933000320046078","72773_4","72905_1"
"933000320046092","73332_2","72292_4"
"933000320045660","72795_2","72806_1"
"933000320045988","73020_2","72789_1"
"933000320046135","72794_2","72790_1"
"933000320046143","72292_1","73311_2"
"933000320047110","73399_1","73228_1"
"933000120138744","72534_6","72532_1"
"933000320045735","72790_2","72805_1"
"933000320046904","73425_1","73194_1"
"933000320046915","73227_1","73439_2"
"933000320046148","72803_2","72936_1"
"933000320046088","72773_4","72905_1"
"933000320046397","73342_1","73340_1"
"933000320047293","73229_2","73436_2"
"933000120138407","72529_1","72593_5"
"933000320046393","72794_2","72790_1"
"933000320045740","72790_2","72805_1"
"933000320046377","72793_4","72779_1"
"933000320046099","72773_4","72905_1"
"933000320045744","73325_2","73342_2"
"933000320047121","73267_2","73152_1"
"933000320046086","73332_2","72292_4"
"933000320045787","72789_2","72799_1"
"933000320046923","73227_1","73439_2"
"933000120138684","72593_6","72619_1"
"933000320047280","73229_2","73436_2"
"933000320045652","73311_3","73306_5"
"933000320047148","73156_2","73411_2"
"933000320047123","73267_2","73152_1"
"933000320045798","72910_2","72807_1"
"933000320047470","73411_1","73198_1"
"933000320047264","73424_1","73224_1"
"933000320046149","73572_2","72772_3"
"933000320045747","72910_2","72807_1"
"933000320045749","73325_2","73342_2"
"933000320047291","73208_2","73175_1"
"933000320046399","72793_4","72779_1"
"933000320047471","73720_2","73726_1"
"933000320045746","72790_2","72805_1"
"933000320046901","73504_4","73505_1"
"933000320045782","72789_2","72799_1"
"933000320047117","73267_2","73152_1"
"933000320047288","73731_2","73744_1"
"933000320047116","73204_2","73191_1"
"933000320046134","72871_1","72952_1"
"933000320046612","72935_2","72771_5"
"933000320046922","73425_1","73194_1"
"933000320047134","73207_2","73171_1"
"933000320047260","73382_2","73229_1"
"933000320047321","73674_2","73688_1"
"933000320045663","72936_2","72803_1"
"933000320045655","73311_3","73306_5"
"933000320047132","73156_2","73411_2"
"933000320046100","72803_2","72936_1"
"933000320046384","72793_4","72779_1"
"933000320045728","73325_2","73342_2"
"933000320046128","73332_2","72292_4"
"933000320046619","72935_2","72771_5"
"933000320046080","73332_2","72292_4"
"933000320046089","73332_2","72292_4"
"933000320045654","73311_3","73306_5"
"933000320046145","72935_2","72771_5"
"933000320046909","73206_2","73243_3"
"933000320047485","73195_2","73187_1"
"933000320047295","73192_2","73167_1"
"933000320045738","72792_2","72778_3"
"933000320045737","72790_2","72805_1"
"933000320045748","73325_2","73342_2"
"933000320047102","73187_2","73379_2"
"933000320046917","73205_2","73412_2"
"933000320047106","73399_1","73228_1"
"933000320046905","73425_1","73194_1"
"933000320045796","72789_2","72799_1"
"933000320046622","72806_2","72781_3"
"933000320046604","72935_2","72771_5"
"933000320046620","72799_2","72903_1"
"933000320046095","72803_2","72936_1"
"933000320046614","72773_4","72905_1"
"933000320046389","73342_1","73340_1"
"933000320046392","72794_2","72790_1"
"933000320047297","73208_2","73175_1"
"933000320046133","72797_2","72795_1"
"933000320047266","73424_1","73224_1"
"933000320047124","73204_2","73191_1"
"933000320047484","73511_1","73512_1"
"933000320047268","73379_1","73438_2"
"933000320046142","72797_2","72795_1"
"933000320047497","73224_2","73223_1"
"933000320047111","73379_1","73438_2"
"933000320045995","73020_2","72789_1"
"933000320047278","73156_2","73411_2"
"933000320045780","73020_2","72789_1"
"933000320046544","72809_2","72785_1"
"933000320046924","73189_2","73207_1"
"933000320046906","73425_1","73194_1"
"933000320046532","72797_2","72795_1"
"933000320047145","73188_2","73435_2"
"933000320045733","72792_2","72778_3"
"933000320047259","73742_2","73706_1"
"933000320045783","72907_2","72979_1"
"933000320047131","73156_2","73411_2"
"933000320047287","73188_2","73435_2"
"933000320047108","73204_2","73191_1"
"933000320047136","73207_2","73171_1"
"933000320045669","73311_3","73306_5"
"933000320047290","73189_2","73207_1"
"933000320047500","73224_2","73223_1"
"933000320047267","73224_2","73223_1"
"933000320047149","73169_2","73398_2"
"933000320047150","73207_2","73171_1"
"933000320047312","73195_2","73187_1"
"933000320047292","73192_2","73167_1"
"933000320046913","73192_2","73167_1"
"933000320046388","73342_1","73340_1"
"933000320047141","73169_2","73398_2"
"933000320047101","73204_2","73191_1"
