rfid,demux_reads,mapped_read_pairs,unmapped_reads_ratio,duplication_ratio,uniq_mapped_ratio,QC_reads,QC_sex,date,file_location,missing_rate,QC_missing,heterozygosity_rate,QC_heterozygosity,coatcolor,QC_coat_color_albino,QC_pass
933000320046051,2204167,2154643,0.0136089960515696,0.091846,0.793918972564239,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0668287,pass,0.291735568256086,pass,BLACKHOOD,pass,pass
933000320046052,3165315,3103362,0.0115543002829102,0.093053,0.809800288438907,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.058442,pass,0.302178469830813,pass,ALBINO,pass,pass
933000320046053,3779938,3703246,0.0120374990277618,0.092114,0.812179459028164,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0556847,pass,0.313524555773315,pass,BROWNHOOD,pass,pass
933000320046055,4631632,4545643,0.0111746788173154,0.092201,0.812931597328976,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0509622,pass,0.299586807833573,pass,ALBINO,pass,pass
933000320046056,3359137,3300284,0.010604807127545,0.092442,0.795099604451977,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0560543,pass,0.326301705258687,pass,BLACK,pass,pass
933000320046057,5362203,5255898,0.011887558154736,0.094553,0.815129807655548,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0489529,pass,0.330046943428939,pass,ALBINO,pass,pass
933000320046058,8356411,8202655,0.0108584295339231,0.068231,0.819199893351344,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.043748,pass,0.332792692711983,pass,ALBINO,pass,pass
933000320046059,2924486,2865957,0.0118311388736345,0.092869,0.808353502119689,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0702345,pass,0.307095920881224,pass,BLACKHOOD,pass,pass
933000320046060,6969689,6834437,0.0118001678410615,0.09434,0.812356548477271,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0474434,pass,0.332146118200903,pass,ALBINO,pass,pass
933000320046061,3104720,3035107,0.01355307402922,0.061908,0.814618870622794,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0701419,pass,0.318342038318378,pass,BROWNHOOD,pass,pass
933000320046062,1338060,1309787,0.0130181008325486,0.089892,0.792824312811085,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0787251,pass,0.314536165748081,pass,ALBINO,pass,pass
933000320046063,1374613,1343985,0.0137562353913429,0.065706,0.803731668476873,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0794083,pass,0.309091209835408,pass,BROWNHOOD,pass,pass
933000320046064,1877892,1836579,0.0132824464878704,0.064679,0.81173411463492,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0684221,pass,0.3088373926959,pass,BLACK,pass,pass
933000320046065,3185404,3117332,0.0125916524246218,0.092575,0.810080448194326,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0601367,pass,0.318607478243903,pass,ALBINO,pass,pass
