"rfid","sex","coatcolor","project_name","organism","strain","comments"
"00077E922E","F","ALBINO","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E9275","M","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E92A7","M","BLACK","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E9370","M","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E9391","M","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E93C6","F","BLACKHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E9490","F","ALBINO","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E9968","F","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E99F4","F","BLACKHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E9B87","F","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E9BF2","F","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E9DE8","F","BLACK","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E9E2F","F","BLACK","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077E9E72","F","ALBINO","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00077EA00B","F","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00078996AC","M","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007899771","F","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00078997D8","F","ALBINO","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00078997E1","M","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007899825","F","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007899868","M","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007899897","F","ALBINO","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007899931","M","BLACK","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000789993E","M","ALBINO","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792994E","F","BLACKHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007929A41","M","BLACK","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007929A91","F","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792A09B","F","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792A0FB","F","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792A25F","M","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
