Library_ID	ID	ID2
0007929AC8_TWAS_192	0007929AC8	0007929AC8
000792A21B_TWAS_193	000792A21B	000792A21B
7899826_TWAS_194	7899826	0007899826
0007929ADD_TWAS_195	0007929ADD	0007929ADD
00078A09BB_TWAS_196	00078A09BB	00078A09BB
00078A00E5_TWAS_197	00078A00E5	00078A00E5
00078A1750_TWAS_198	00078A1750	00078A1750
00078A18BA_TWAS_199	00078A18BA	00078A18BA
00078A184F_TWAS_200	00078A184F	00078A184F
000789FFAE_TWAS_201	000789FFAE	000789FFAE
000789FFB4_TWAS_202	000789FFB4	000789FFB4
00078A0055_TWAS_203	00078A0055	00078A0055
00078A093C_TWAS_204	00078A093C	00078A093C
00078A1A9A_TWAS_205	00078A1A9A	00078A1A9A
00078A18C8_TWAS_206	00078A18C8	00078A18C8
00078A1900_TWAS_207	00078A1900	00078A1900
00078A02B6_TWAS_208	00078A02B6	00078A02B6
00078A01D3_TWAS_209	00078A01D3	00078A01D3
00078A1765_TWAS_210	00078A1765	00078A1765
00078A0295_TWAS_211	00078A0295	00078A0295
000789FFC6_TWAS_212	000789FFC6	000789FFC6
00078A0121_TWAS_213	00078A0121	00078A0121
00078A186F_TWAS_214	00078A186F	00078A186F
00078A18F6_TWAS_215	00078A18F6	00078A18F6
00078A0129_TWAS_216	00078A0129	00078A0129
000792A1A6_TWAS_217	000792A1A6	000792A1A6
00079299D7_TWAS_218	00079299D7	00079299D7
00077E75DE_TWAS_219	00077E75DE	00077E75DE
00078A1835_TWAS_220	00078A1835	00078A1835
000789FF9E_TWAS_221	000789FF9E	000789FF9E
00078A190D_TWAS_222	00078A190D	00078A190D
00078A19CC_TWAS_223	00078A19CC	00078A19CC
000789FF72_TWAS_224	000789FF72	000789FF72
000789FF60_TWAS_225	000789FF60	000789FF60
00078A1924_TWAS_226	00078A1924	00078A1924
0007929B58_TWAS_227	0007929B58	0007929B58
7928310_TWAS_228	7928310	0007928310
00078A0162_TWAS_229	00078A0162	00078A0162
00078A0264_TWAS_230	00078A0264	00078A0264
00079298CC_TWAS_231	00079298CC	00079298CC
0007929B45_TWAS_232	0007929B45	0007929B45
0007929AD0_TWAS_233	0007929AD0	0007929AD0
0007929A8E_TWAS_234	0007929A8E	0007929A8E
00079298A9_TWAS_235	00079298A9	00079298A9
0007929B67_TWAS_236	0007929B67	0007929B67
00078A19B2_TWAS_237	00078A19B2	00078A19B2
000789FFB3_TWAS_238	000789FFB3	000789FFB3
00078A17F3_TWAS_239	00078A17F3	00078A17F3
00078A1A70_TWAS_240	00078A1A70	00078A1A70
00078A16CF_TWAS_241	00078A16CF	00078A16CF
00078A00AD_TWAS_242	00078A00AD	00078A00AD
00078A00E6_TWAS_243	00078A00E6	00078A00E6
00078A16D0_TWAS_244	00078A16D0	00078A16D0
00077E8CD3_TWAS_245	00077E8CD3	00077E8CD3
000789FF64_TWAS_246	000789FF64	000789FF64
00079299E6_TWAS_247	00079299E6	00079299E6
000789972A_TWAS_248	000789972A	000789972A
00079F9C01_TWAS_249	00079F9C01	00079F9C01
00079299B5_TWAS_250	00079299B5	00079299B5
7899884_TWAS_251	7899884	0007899884
00078A01F1_TWAS_252	00078A01F1	00078A01F1
0007929A96_TWAS_253	0007929A96	0007929A96
0007929C19_TWAS_254	0007929C19	0007929C19
0007929C40_TWAS_255	0007929C40	0007929C40
0007929B8F_TWAS_256	0007929B8F	0007929B8F
0007A3748E_TWAS_257	0007A3748E	0007A3748E
000789FFF2_TWAS_258	000789FFF2	000789FFF2
000792A110_TWAS_259	000792A110	000792A110
0007929B36_TWAS_260	0007929B36	0007929B36
00079298B1_TWAS_261	00079298B1	00079298B1
0007929BF5_TWAS_262	0007929BF5	0007929BF5
000792A126_TWAS_263	000792A126	000792A126
00079F5D6C_TWAS_264	00079F5D6C	00079F5D6C
000792A049_TWAS_265	000792A049	000792A049
0007A3F68B_TWAS_266	0007A3F68B	0007A3F68B
00078A1A41_TWAS_267	00078A1A41	00078A1A41
00078A1A5D_TWAS_268	00078A1A5D	00078A1A5D
000792A62A_TWAS_269	000792A62A	000792A62A
000789963D_TWAS_270	000789963D	000789963D
000792A7DB_TWAS_271	000792A7DB	000792A7DB
0007A01A7C_TWAS_272	0007A01A7C	0007A01A7C
0007A39048_TWAS_273	0007A39048	0007A39048
7899734_TWAS_274	7899734	0007899734
00078999AE_TWAS_275	00078999AE	00078999AE
00079FE6B4_TWAS_276	00079FE6B4	00079FE6B4
000792A7B4_TWAS_277	000792A7B4	000792A7B4
00078997FE_TWAS_278	00078997FE	00078997FE
0007929A6C_TWAS_279	0007929A6C	0007929A6C
0007A3D3A3_TWAS_280	0007A3D3A3	0007A3D3A3
00079FC3E9_TWAS_281	00079FC3E9	00079FC3E9
00079FF018_TWAS_282	00079FF018	00079FF018
00079FF7D6_TWAS_283	00079FF7D6	00079FF7D6
00079FD64F_TWAS_284	00079FD64F	00079FD64F
0007A3C18F_TWAS_285	0007A3C18F	0007A3C18F
0007929B37_TWAS_286	0007929B37	0007929B37
000792A1B5_TWAS_287	000792A1B5	000792A1B5
000792A80C_TWAS_288	000792A80C	000792A80C
0007A001C5_TWAS_289	0007A001C5	0007A001C5
00078997A0_TWAS_290	00078997A0	00078997A0
0007A3BD9F_TWAS_291	0007A3BD9F	0007A3BD9F
000792A597_TWAS_292	000792A597	000792A597
7899629_TWAS_293	7899629	0007899629
00078996BD_TWAS_294	00078996BD	00078996BD
000792A358_TWAS_295	000792A358	000792A358
00078997C9_TWAS_296	00078997C9	00078997C9
0007929BDB_TWAS_297	0007929BDB	0007929BDB
00079298B3_TWAS_298	00079298B3	00079298B3
00079298F7_TWAS_299	00079298F7	00079298F7
0007929B15_TWAS_300	0007929B15	0007929B15
0007929B70_TWAS_301	0007929B70	0007929B70
0007A01C94_TWAS_302	0007A01C94	0007A01C94
000792A3D0_TWAS_303	000792A3D0	000792A3D0
00079FA868_TWAS_304	00079FA868	00079FA868
00078995FC_TWAS_305	00078995FC	00078995FC
7899981_TWAS_306	7899981	0007899981
0007A3B51B_TWAS_307	0007A3B51B	0007A3B51B
0007A3B7B0_TWAS_308	0007A3B7B0	0007A3B7B0
000792A25B_TWAS_309	000792A25B	000792A25B
0007A3B423_TWAS_310	0007A3B423	0007A3B423
0007A3D743_TWAS_311	0007A3D743	0007A3D743
00078998A8_TWAS_312	00078998A8	00078998A8
000792A2C6_TWAS_313	000792A2C6	000792A2C6
00079298DD_TWAS_314	00079298DD	00079298DD
0007A39567_TWAS_315	0007A39567	0007A39567
00079FF1CB_TWAS_316	00079FF1CB	00079FF1CB
0007929BE8_TWAS_317	0007929BE8	0007929BE8
0007929A8A_TWAS_318	0007929A8A	0007929A8A
000792A0EC_TWAS_319	000792A0EC	000792A0EC
000792A32B_TWAS_320	000792A32B	000792A32B
7899695_TWAS_321	7899695	0007899695
7899688_TWAS_322	7899688	0007899688
0007A3AA83_TWAS_323	0007A3AA83	0007A3AA83
000792A300_TWAS_324	000792A300	000792A300
00079FEE59_TWAS_325	00079FEE59	00079FEE59
00078998C8_TWAS_326	00078998C8	00078998C8
7899605_TWAS_327	7899605	0007899605
7899607_TWAS_328	7899607	0007899607
000792A177_TWAS_329	000792A177	000792A177
000792A08F_TWAS_330	000792A08F	000792A08F
000792A6D1_TWAS_331	000792A6D1	000792A6D1
000792A7A4_TWAS_332	000792A7A4	000792A7A4
00079F99EA_TWAS_333	00079F99EA	00079F99EA
000792A063_TWAS_334	000792A063	000792A063
000792A23C_TWAS_335	000792A23C	000792A23C
0007929B78_TWAS_336	0007929B78	0007929B78
00079299D9_TWAS_337	00079299D9	00079299D9
00078997BF_TWAS_338	00078997BF	00078997BF
0007929BA5_TWAS_339	0007929BA5	0007929BA5
7899712_TWAS_340	7899712	0007899712
00079FAA78_TWAS_341	00079FAA78	00079FAA78
00079F5F7E_TWAS_342	00079F5F7E	00079F5F7E
7899781_TWAS_343	7899781	0007899781
00079FB742_TWAS_344	00079FB742	00079FB742
000792A0D5_TWAS_345	000792A0D5	000792A0D5
00078A18EC_TWAS_346	00078A18EC	00078A18EC
00078A178C_TWAS_347	00078A178C	00078A178C
00078A1771_TWAS_348	00078A1771	00078A1771
00078A22AF_TWAS_349	00078A22AF	00078A22AF
00078A16DB_TWAS_350	00078A16DB	00078A16DB
00078A25EF_TWAS_351	00078A25EF	00078A25EF
00078A1A62_TWAS_352	00078A1A62	00078A1A62
00078A22CE_TWAS_31	00078A22CE	00078A22CE
7899800_TWAS_39	7899800	0007899800
000792A096_TWAS_165	000792A096	000792A096
0007929ABE_TWAS_173	0007929ABE	0007929ABE
0007929B91_TWAS_188	0007929B91	0007929B91
