"","id_f51","cc","sex","fam_no","dob","home_cage","sire_id","dam_id","transpondernumber","sw_id","generation","ear_punch","sire_sw_id","dam_sw_id"
"75","44713_2",NA,"F",NA,"38688",NA,NA,NA,"0006717FD9","HSF0022","0",NA,NA,NA
"76","41462_2",NA,"F",NA,"38628",NA,NA,NA,"0006731BB8","HSF0023","0",NA,NA,NA
"77","41453_2",NA,"F",NA,"38613",NA,NA,NA,"000671744D","HSF0024","0",NA,NA,NA
"78","44714_2",NA,"F",NA,"38708",NA,NA,NA,"6732805","HSF0025","0",NA,NA,NA
"79","44716_2","BLACK AND WHITE","F",NA,"38730",NA,NA,NA,"6714670","HSF0026","0",NA,NA,NA
"80","44717_2","BLACK AND WHITE","F",NA,"38751",NA,NA,NA,"6738867","HSF0027","0",NA,NA,NA
"81","44718_2","BROWN","F",NA,"38718",NA,NA,NA,"00067327DC","HSF0028","0",NA,NA,NA
"82","44719_2","BROWN","F",NA,"38714",NA,NA,NA,"0006730C46","HSF0029","0",NA,NA,NA
"83","44725_1","BLACK","F",NA,"38731",NA,NA,NA,"6715874","HSF0030","0",NA,NA,NA
"84","44720_2","BLACK AND WHITE","F",NA,"38744",NA,NA,NA,"000673065E","HSF0031","0",NA,NA,NA
"85","45432_2",NA,"F",NA,"38724",NA,NA,NA,"00068E7F99","HSF0032","0",NA,NA,NA
"86","45433_2",NA,"F",NA,"38727",NA,NA,NA,"00068EAC46","HSF0033","0",NA,NA,NA
"87","44721_2","BLACK","F",NA,"38734",NA,NA,NA,"00067303FE","HSF0034","0",NA,NA,NA
"88","44722_2",NA,"F",NA,"38714",NA,NA,NA,"00068E0C69","HSF0035","0",NA,NA,NA
"89","45440_1",NA,"F",NA,"38715",NA,NA,NA,"00068E1F65","HSF0036","0",NA,NA,NA
"90","44723_2","BROWN AND WHITE","F",NA,"38724",NA,NA,NA,"000682C5B0","HSF0037","0",NA,NA,NA
"91","45434_2",NA,"F",NA,"38715",NA,NA,NA,"00068E1E83","HSF0038","0",NA,NA,NA
"92","44724_2","ALBINO","F",NA,"38702",NA,NA,NA,"000673227D","HSF0039","0",NA,NA,NA
"93","45435_2",NA,"F",NA,"38729",NA,NA,NA,"00068E18F6","HSF0040","0",NA,NA,NA
"94","45436_2",NA,"F",NA,"38732",NA,NA,NA,"00068E8C14","HSF0042","0",NA,NA,NA
"95","45437_2",NA,"F",NA,"38775",NA,NA,NA,"00068E34F6","HSF0044","0",NA,NA,NA
"96","44764_2","BLACK HOOD","F",NA,"38708",NA,NA,NA,"000682E01C","HSF0045","0",NA,NA,NA
"97","44765_2","BLACK W/RED TAI","F",NA,"38769",NA,NA,NA,"000672FDF0","HSF0046","0",NA,NA,NA
"98","44766_2","BROWN","F",NA,"38753",NA,NA,NA,"0006714C68","HSF0047","0",NA,NA,NA
"99","45438_2",NA,"F",NA,"38747",NA,NA,NA,"00068EA13C","HSF0048","0",NA,NA,NA
"100","44767_2","BLACK","F",NA,"38727",NA,NA,NA,"00068E30EE","HSF0049","0",NA,NA,NA
"101","44768_2","ALBINO","F",NA,"38719",NA,NA,NA,"00068E3E58","HSF0050","0",NA,NA,NA
"102","44769_2","BLACK HOOD","F",NA,"38719",NA,NA,NA,"00068E13E8","HSF0051","0",NA,NA,NA
"103","44771_2","ALBINO","F",NA,"38718",NA,NA,NA,"00068E1DDE","HSF0052","0",NA,NA,NA
"104","44772_2","BROWN HOOD","F",NA,"38715",NA,NA,NA,"00068E19C3","HSF0053","0",NA,NA,NA
"105","44773_2","BROWN HOOD","F",NA,"38719",NA,NA,NA,"00068E0FE2","HSF0054","0",NA,NA,NA
"106","44717_3",NA,"F",NA,"38751",NA,NA,NA,"00068EAB77","HSF0055","0",NA,NA,NA
"107","44718_3",NA,"F",NA,"38718",NA,NA,NA,"00068E94E7","HSF0056","0",NA,NA,NA
"108","44720_3",NA,"F",NA,"38744",NA,NA,NA,"00068E17B0","HSF0057","0",NA,NA,NA
"109","44721_3",NA,"F",NA,"38734",NA,NA,NA,"00068E0C30","HSF0058","0",NA,NA,NA
"110","44723_3",NA,"F",NA,"38724",NA,NA,NA,"00068E141A","HSF0059","0",NA,NA,NA
"111","44724_3",NA,"F",NA,"38702",NA,NA,NA,"00068EAB94","HSF0060","0",NA,NA,NA
"112","44766_3",NA,"F",NA,"38753",NA,NA,NA,"00068EA275","HSF0061","0",NA,NA,NA
"113","46137_1","BLACK","F",NA,"38961",NA,"41454_1","41456_2","00068B7CBB","HSF0101","100","LT","HSM0007","HSF0005"
"114","44194_1","BLACK HOOD","F",NA,"38868",NA,"41445_2","41452_2","00068EA163","HSF0102","100","RT","HSM0016B","HSF0001"
"115","43874_1","BROWN HOOD","F",NA,"38886",NA,"44713_1","44712_2","00068E2D59","HSF0103","100","RT","HSM0022","HSF0020"
"116","44079_3","BLACK HOOD","F",NA,"38883",NA,"41445_2","41460_2","00068E2755","HSF0104","100","LM","HSM0016B","HSF0014"
"117","43875_2","BROWN","F",NA,"38883",NA,"44712_1","44711_3","00068E2E5F","HSF0105","100","RM","HSM0020","HSF0002"
"118","43880_6","ALBINO","F",NA,"38872",NA,"41461_1","41451_2","00068E9BA1","HSF0106","100","RM","HSM0008","HSF0012"
"119","43988_1","ALBINO","F",NA,"38879",NA,"41448_1","41464_2","00068E253F","HSF0107","100","RT","HSM0019","HSF0017"
"120","43987_2","BLACK HOOD","F",NA,"38880",NA,"41447_1","41450_2","00068E042F","HSF0108","100","RM","HSM0006","HSF0018"
"121","44082_2","BLACK","F",NA,"38889",NA,"41464_1","41446_2","00068E151E","HSF0109","100","LM","HSM0017","HSF0015"
"122","46958_2","BLACK","F",NA,"40086",NA,"41464_1","41446_2","000696D20E","HSF109B","100","RM","HSM0017","HSF0015"
"123","43304_2","BLACK HOOD","F",NA,"38879",NA,"41455_1","41461_2","00068EB39D","HSF0110","100","RM","HSM0010","HSF0008"
"124","44080_1","BROWN","F",NA,"38884",NA,"41453_1","41458_2","00068E80BA","HSF0111","100","LT","HSM0024","HSF0004"
"125","43303_1","BROWN HOOD","F",NA,"38880",NA,"41449_1","41428_2","00068E854D","HSF0113","100","RT","HSM0013","HSF0011"
"126","43877_1","BLACK","F",NA,"38886",NA,"44711_1","41463_2","000697AC83","HSF0114","100","RT","HSM0002","HSF0021"
"127","43986_4","BROWN","F",NA,"38880",NA,"41458_1","41448_2","00068E94B4","HSF0115","100","LT","HSM0004","HSF0019"
"128","43878_2","BROWN HOOD","F",NA,"38869",NA,"41451_1","41462_2","00068E9248","HSF0116","100","RM","HSM0012","HSF0023"
"129","43863_1","BLACK","F",NA,"38870",NA,"41428_1","41457_2","00068E287C","HSF0117","100","LT","HSM0011","HSF0009"
"130","44791_1","ALBINO","F",NA,"38910",NA,"41446_1","41447_2","00068E3423","HSF0118","100","RT","HSM0015","HSF0006"
"131","44193_5","BLACK","F",NA,"38866",NA,"41450_1","41449_2","00068E1D87","HSF0119","100","LM","HSM0018","HSF0013"
"132","43889_1","BLACK","F",NA,"38875",NA,"41452_1","41453_2","00068E32B3","HSF0120","100","RT","HSM0001","HSF0024"
"133","44780_2","BLACK HOOD","F",NA,"38935",NA,"44714_1","44764_2","00068E24B1","HSF0121","100","RM","HSM0025","HSF0045"
"134","43879_6","BROWN HOOD","F",NA,"38872",NA,"41460_1","41455_2","00068E0E22","HSF0122","100","LB","HSM0014","HSF0010"
"135","45595_1","BLACK HOOD","F",NA,"38947",NA,"45432_1","44717_2","00068E2612","HSF0123","100","RT","HSM0032","HSF0027"
"136","45596_4","BLACK","F",NA,"38947",NA,"45434_1","44723_3","00068E2E14","HSF0124","100","RM","HSM0038","HSF0059"
"137","45925_1","BROWN HOOD","F",NA,"38951",NA,"44717_1","44720_3","00068E8E85","HSF0125","100","RT","HSM0027","HSF0057"
"138","45603_1","BLACK HOOD","F",NA,"38963",NA,"44765_1","45436_2","00068B7300","HSF0126","100","RT","HSM0046","HSF0042"
"139","44942_3","ALBINO","F",NA,"38940",NA,"44722_1","44720_2","00068B5318","HSF0127","100","RT","HSM0035","HSF0031"
"140","44779_4","BROWN","F",NA,"38935",NA,"44724_1","44718_2","00068B77B1","HSF0128","100","LT","HSM0039","HSF0028"
"141","47825_4","BROWN HOOD","F",NA,"39027",NA,"45438_1","44766_3","00068B5C3A","HSF0129","100","LT","HSM0048","HSF0061"
"142","45605_4","BLACK","F",NA,"38959",NA,"45433_3","45438_2","00068B7328","HSF0131","100","RM","HSM0056","HSF0048"
"143","44776_2","BLACK HOOD","F",NA,"38925",NA,"44719_1","44765_2","00068B715F","HSF0132","100","RM","HSM0029","HSF0046"
"144","45600_3","BLACK HOOD","F",NA,"38954",NA,"45436_1","45433_2","00068B8D3D","HSF0133","100","LM","HSM0042","HSF0033"
"145","44941_4","BROWN HOOD","F",NA,"38940",NA,"44723_1","44716_2","00068B34E3","HSF0134","100","RM","HSM0037","HSF0026"
"146","45599_4","BLACK HOOD","F",NA,"39287",NA,"45437_1","45432_2","00068B8104","HSF0135","100","LT","HSM0044","HSF0032"
"147","45597_1","BROWN","F",NA,"38949",NA,"45435_1","44722_2","00068B6152","HSF0136","100","RB","HSM0040","HSF0035"
"148","45604_4","BLACK HOOD","F",NA,"38960",NA,"44720_1","45437_2","00068B6E48","HSF0137","100","LM","HSM0031","HSF0044"
"149","46706_2","ALBINO","F",NA,"38996",NA,"45433_1","44721_3","00068B8343","HSF0139","100","LT","HSM0033","HSF0058"
"150","47821_3","BROWN HOOD","F",NA,"39023",NA,"45433_1","44721_3","00068BA51F","HSF0139B","100","LM","HSM0033","HSF0058"
"151","44777_1","BROWN HOOD","F",NA,"38938",NA,"44716_1","44766_2","00068B9C04","HSF0140","100","RT","HSM0026","HSF0047"
"152","46164_1","BLACK","F",NA,"38963",NA,"41457_1","41454_2","00068AD438","HSF0141","100","LM","HSM0009","HSF0007"
"153","45602_1","BROWN","F",NA,"38962",NA,"44766_1","45435_2","00068B71F1","HSF0142","100","RB","HSM0047","HSF0040"
"154","44775_5","BROWN HOOD","F",NA,"38925",NA,"44718_1","44721_2","00068B89D3","HSF0143","100","LM","HSM0028","HSF0034"
"155","46248_1","BROWN","F",NA,"38967",NA,"41463_1","44713_2","00068BA406","HSF0144","100","RT","HSM0021","HSF0022"
"156","46680_2","BLACK HOOD","F",NA,"38985",NA,"41456_1","41459_2","00068B712A","HSF0145","100","RM","HSM0005","HSF0003"
"157","48371_1","BLACK HOOD","F",NA,"39033",NA,"44764_1","44724_3","00068B54E8","HSF0146","100","RB","HSM0045","HSF0060"
