"rfid","project_name","dames","sires"
"933000320046899","u01_suzanne_mitchell","73504_4","73692_1"
"933000320046346","u01_suzanne_mitchell","72907_2","72979_1"
"933000320047636","u01_suzanne_mitchell","73668_2","73400_2"
"933000320046771","u01_suzanne_mitchell","73152_2","73203_1"
"933000320046757","u01_suzanne_mitchell","72792_2","72778_3"
"933000320046493","u01_suzanne_mitchell","73206_2","73243_3"
"933000320046485","u01_suzanne_mitchell","73327_1","73325_1"
"933000320047086","u01_suzanne_mitchell","73671_2","73744_1"
"933000320046045","u01_suzanne_mitchell","73174_2","73188_1"
"933000320046884","u01_suzanne_mitchell","73692_2","73167_1"
"933000320046375","u01_suzanne_mitchell","73398_1","73151_1"
"933000320047779","u01_suzanne_mitchell","73232_2","73784_1"
"933000320046334","u01_suzanne_mitchell","73267_2","73152_1"
"933000320046338","u01_suzanne_mitchell","73175_2","73232_1"
"933000320046756","u01_suzanne_mitchell","73152_2","73203_1"
"933000320046339","u01_suzanne_mitchell","72907_2","72979_1"
"933000320047091","u01_suzanne_mitchell","73437_1","73505_1"
"933000320046032","u01_suzanne_mitchell","72790_2","72805_1"
"933000320047231","u01_suzanne_mitchell","73382_2","73378_2"
"933000320046770","u01_suzanne_mitchell","73151_2","73174_1"
"933000320046763","u01_suzanne_mitchell","73156_2","73411_2"
"933000320047755","u01_suzanne_mitchell","73192_2","73171_1"
"933000320046050","u01_suzanne_mitchell","73189_2","73207_1"
"933000320046760","u01_suzanne_mitchell","73168_2","73424_2"
"933000320046305","u01_tom_jhou","73311_3","73306_5"
"933000320046873","u01_tom_jhou","73706_2","73668_1"
"933000320046505","u01_tom_jhou","73411_1","73198_1"
"933000320047772","u01_tom_jhou","73376_1","73189_1"
"933000320047436","u01_tom_jhou","73804_1","73692_1"
"933000320046866","u01_tom_jhou","73690_2","73672_1"
"933000320046312","u01_tom_jhou","72803_2","72936_1"
"933000320046324","u01_tom_jhou","72803_2","72936_1"
"933000120138522","u01_tom_jhou","72503_2","72446_5"
"933000320046507","u01_tom_jhou","73437_1","73378_2"
"933000320047404","u01_tom_jhou","73783_2","73878_1"
"933000320046506","u01_tom_jhou","73190_2","73425_2"
"933000320046852","u01_tom_jhou","73669_2","73747_1"
"933000320047390","u01_tom_jhou","73705_2","73735_1"
"933000320046317","u01_tom_jhou","72871_1","72952_1"
"933000320046322","u01_tom_jhou","72803_2","72936_1"
"933000320046501","u01_tom_jhou","73411_1","73198_1"
"933000120138509","u01_tom_jhou","72405_2","72413_1"
"933000320046318","u01_tom_jhou","73345_2","73327_2"
"933000320046372","u01_tom_jhou","73345_2","73327_2"
"933000120138527","u01_tom_jhou","72336_2","72457_2"
"933000320046858","u01_tom_jhou","73666_2","73719_1"
"933000320047440","u01_tom_jhou","73689_2","73698_1"
"933000120138517","u01_tom_jhou","72336_2","72457_2"
"933000320046480","u01_tom_jhou","73311_3","73306_5"
"933000320046868","u01_tom_jhou","73701_2","73690_1"
"933000320046314","u01_tom_jhou","72871_1","72952_1"
"933000320047442","u01_tom_jhou","73689_2","73698_1"
"933000320047427","u01_tom_jhou","73669_2","73747_1"
"933000320047377","u01_tom_jhou","73768_2","73675_1"
"933000320046861","u01_tom_jhou","73782_2","73727_1"
"933000320047379","u01_tom_jhou","73705_2","73735_1"
"933000320046309","u01_tom_jhou","72789_2","72799_1"
"933000320046316","u01_tom_jhou","72803_2","72936_1"
"933000320046525","u01_tom_jhou","73195_2","73187_1"
"933000320046307","u01_tom_jhou","72907_2","72979_1"
"933000320046303","u01_tom_jhou","73311_3","73306_5"
"933000320046862","u01_tom_jhou","73744_2","73734_2"
"933000120138446","u01_tom_jhou","72341_2","72386_2"
"933000320047763","u01_tom_jhou","73207_2","73171_1"
"933000120138546","u01_tom_jhou","72393_2","72371_2"
"933000120138519","u01_tom_jhou","72393_2","72371_2"
"933000320046302","u01_tom_jhou","73311_3","73306_5"
"933000320047438","u01_tom_jhou","73718_2","73745_1"
"933000320047437","u01_tom_jhou","73724_2","73785_1"
"933000320047434","u01_tom_jhou","73668_2","73768_1"
"933000320046365","u01_tom_jhou","73398_1","73151_1"
"933000120138532","u01_tom_jhou","72342_2","72351_5"
"933000320047443","u01_tom_jhou","73733_2","73731_1"
"933000320046510","u01_tom_jhou","73195_2","73187_1"
"933000320047378","u01_tom_jhou","73783_2","73878_1"
"933000320047444","u01_tom_jhou","73723_2","73667_1"
"933000320046516","u01_tom_jhou","73382_2","73229_1"
"933000120138529","u01_tom_jhou","72405_2","72413_1"
"933000320046306","u01_tom_jhou","73345_2","73327_2"
"933000320046515","u01_tom_jhou","73190_2","73425_2"
"933000120138511","u01_tom_jhou","72591_6","72595_4"
"933000320047773","u01_tom_jhou","73676_2","73784_1"
"933000320046508","u01_tom_jhou","73437_1","73378_2"
"933000320046311","u01_tom_jhou","72871_1","72952_1"
"933000320047447","u01_tom_jhou","73993_1","73671_1"
"933000320047765","u01_tom_jhou","73676_2","73784_1"
"933000320046855","u01_tom_jhou","73699_2","73693_1"
"933000120138516","u01_tom_jhou","72541_5","72689_1"
